paper_id	0	1	2	3	4	5	6	decision
yztpblfGkZ-	5.0	3.0	5.0	3.0	6.0			Reject
FqKolXKrQGA	3.0	6.0	6.0	5.0	3.0			Reject
34mWBCWMxh9	5.0	5.0	8.0	5.0				Reject
ZaVVVlcdaN	6.0	5.0	5.0	6.0				Accept (Poster)
YJ1WzgMVsMt	8.0	8.0	6.0	6.0	8.0			Accept (Spotlight)
kG0AtPi6JI1	6.0	6.0	6.0	3.0				Accept (Poster)
o9DnX55PEAo	6.0	3.0	5.0					Reject
68n2s9ZJWF8	5.0	6.0	5.0	8.0				Accept (Poster)
z7DAilcTx7	5.0	5.0	5.0					Reject
EcGGFkNTxdJ	6.0	8.0	6.0	6.0				Accept (Poster)
3pZTPQjeQDR	6.0	6.0	6.0					Reject
AJO2mBSTOHl	3.0	3.0	3.0	3.0				Reject
YevsQ05DEN7	5.0	6.0	8.0	6.0	6.0			Accept (Poster)
6Q52pZ-Th7N	6.0	8.0	5.0					Accept (Poster)
XJFGyJEBLuz	3.0	3.0	8.0					Reject
u7UxOTefG2	5.0	6.0	5.0					Reject
30nbp1eV0dJ	5.0	3.0	5.0	8.0				Reject
AJAR-JgNw__	6.0	8.0	8.0	8.0				Accept (Spotlight)
Uxppuphg5ZL	6.0	3.0	5.0	5.0				Reject
3PN4iyXBeF	6.0	8.0	6.0	6.0	3.0			Accept (Poster)
Ih7LAeOYIb0	5.0	5.0	5.0	6.0				Reject
7Bc2U-dLJ6N	5.0	5.0	5.0	6.0				Reject
rTAclwH46Tb	6.0	6.0	6.0	8.0				Accept (Poster)
ZumkmSpY9G4	5.0	5.0	5.0	6.0				Reject
MkTPtnjeYTV	8.0	8.0	8.0					Accept (Spotlight)
hOaYDFpQk3g	3.0	3.0	6.0	5.0	6.0	3.0	5.0	Reject
7MV6uLzOChW	8.0	6.0	8.0	8.0				Accept (Poster)
vcUmUvQCloe	5.0	8.0	8.0					Accept (Poster)
fHeK814NOMO	5.0	3.0	8.0	6.0	8.0	10.0		Reject
rqolQhuq6Hs	6.0	3.0	6.0					Reject
sBT5nxwt18Q	3.0	5.0	3.0	6.0				Reject
49A1Y6tRhaq	3.0	8.0	6.0	8.0				Accept (Spotlight)
9W2KnHqm_xN	5.0	5.0	5.0	6.0				Reject
p98WJxUC3Ca	6.0	6.0	6.0	6.0				Accept (Poster)
Gx6Tvlm-hWW	6.0	6.0	6.0	6.0				Reject
lu_DAxnWsh	3.0	3.0	3.0	3.0				Reject
HfUyCRBeQc	6.0	5.0	5.0	8.0				Accept (Poster)
8e2vrVvvaeQ	5.0	3.0	8.0	8.0				Reject
O476oWmiNNp	6.0	6.0	6.0					Accept (Poster)
JLbXkHkLCG6	5.0	3.0	5.0	5.0				Reject
UTTrevGchy	5.0	5.0	6.0	6.0				Reject
CgV7NVOgDJZ	8.0	5.0	5.0	3.0				Reject
o_HsiMPYh_x	8.0	5.0	8.0	8.0	6.0			Accept (Poster)
LhObGCkxj4	6.0	6.0	6.0	6.0				Reject
0SiVrAfIxOe	5.0	5.0	5.0					Reject
Fza94Y8VS4a	5.0	8.0	6.0	6.0				Accept (Poster)
aYAA-XHKyk	5.0	8.0	6.0	6.0				Accept (Poster)
2sDQwC_hmnM	6.0	6.0	5.0					Accept (Poster)
mF122BuAnnW	3.0	8.0	3.0	5.0				Reject
fRnRsdc_nR7	5.0	5.0	6.0	3.0				Reject
mZsZy481_F	3.0	3.0	3.0	5.0				Reject
K47zHehHcRc	3.0	5.0	6.0	3.0				Reject
F0v5uBM-q5K	5.0	3.0	3.0	6.0				Reject
ChKNCDB0oYj	3.0	3.0	1.0					Reject
nhN-fqxmNGx	8.0	3.0	6.0	6.0				Accept (Poster)
mRc_t2b3l1-	6.0	3.0	6.0	5.0				Reject
-3Qj7Jl6UP5	3.0	3.0	3.0	3.0				Reject
alaQzRbCY9w	5.0	3.0	5.0	5.0				Reject
TKrlyiqKWB	3.0	6.0	3.0	6.0				Reject
w8HXzn2FyKm	5.0	5.0	5.0	5.0	5.0			Reject
e-JV6H8lwpl	6.0	3.0	5.0					Reject
ZWykq5n4zx	8.0	6.0	6.0	6.0				Reject
3mgYqlH60Uj	6.0	5.0	6.0	6.0				Reject
z7p2V6KROOV	8.0	6.0	8.0	8.0				Accept (Oral)
3Li0OPkhQU	5.0	5.0	3.0	5.0				Reject
D1TYemnoRN	6.0	5.0	6.0	5.0				Reject
CVfLvQq9gLo	8.0	8.0	6.0					Accept (Poster)
xRK8xgFuiu	3.0	3.0	6.0	3.0	6.0			Reject
T_uSMSAlgoy	6.0	3.0	3.0					Reject
SN2bkl9f69	5.0	5.0	6.0					Reject
6ya8C6sCiD	3.0	5.0	6.0	6.0	6.0			Reject
1gEb_H1DEqZ	5.0	3.0	5.0	3.0				Reject
qyTBxTztIpQ	8.0	5.0	6.0					Accept (Poster)
hxitw01k_Ql	3.0	3.0	5.0	3.0				Reject
RftryyYyjiG	6.0	5.0	6.0	6.0				Accept (Poster)
jNB6vfl_680	5.0	6.0	3.0					Reject
Ih0iJBSy4eq	5.0	5.0	5.0	5.0				Reject
N0n_QyQ5lBF	8.0	8.0	8.0					Accept (Oral)
HiHWMiLP035	3.0	5.0	5.0	3.0				Reject
GQd7mXSPua	6.0	5.0	6.0					Accept (Poster)
vr39r4Rjt3z	5.0	5.0	8.0	6.0	8.0			Reject
EhYjZy6e1gJ	8.0	8.0	8.0					Accept (Oral)
OCgCYv7KGZe	6.0	8.0	3.0	5.0				Reject
LtKcMgGOeLt	8.0	6.0	8.0	8.0	5.0			Accept (Spotlight)
zz9hXVhf40	6.0	6.0	8.0	6.0	8.0			Accept (Spotlight)
bsycpMi00R1	6.0	6.0	6.0	6.0				Accept (Poster)
WN2Sup7qLdw	3.0	5.0	3.0	5.0	6.0			Reject
ExJ4lMbZcqa	6.0	3.0	6.0	8.0				Reject
xtZXWpXVbiK	6.0	8.0	6.0	8.0				Reject
-29uFS4FiDZ	5.0	6.0	5.0	6.0	3.0			Reject
TNxKD3z_tPZ	3.0	1.0	3.0	3.0				Reject
AS0dhAKIYA0	1.0	3.0	1.0	5.0				Reject
qTHBE7E9iej	8.0	8.0	8.0	8.0				Accept (Spotlight)
vEIVxSN8Xhx	3.0	5.0	5.0	5.0				Reject
BduNVoPyXBK	5.0	6.0	5.0					Reject
AypVMhFfuc5	6.0	8.0	8.0	3.0				Reject
XWODe7ZLn8f	8.0	6.0	8.0	6.0				Accept (Spotlight)
Yr_1QZaRqmv	3.0	5.0	3.0	6.0				Reject
XVPqLyNxSyh	8.0	6.0	8.0					Accept (Poster)
8la28hZOwug	6.0	8.0	6.0	6.0				Accept (Poster)
okmZ6-zU6Lz	3.0	6.0	6.0					Reject
DrZXuTGg2A-	6.0	8.0	8.0	6.0				Accept (Poster)
EMxu-dzvJk	6.0	6.0	6.0	6.0	8.0			Accept (Poster)
DIjCrlsu6Z	6.0	8.0	8.0					Accept (Spotlight)
89W18gW0-6o	5.0	6.0	5.0	6.0				Reject
Z0XiFAb_WDr	5.0	5.0	5.0					Reject
PilZY3omXV2	8.0	6.0	6.0	5.0				Accept (Poster)
lkQ7meEa-qv	6.0	3.0	5.0	3.0				Reject
kj0_45Y4r9i	5.0	8.0	6.0	6.0				Accept (Poster)
-3yxxvDis3L	5.0	6.0	3.0	5.0				Reject
BkIV7EOXkSs	5.0	6.0	6.0	6.0				Reject
yhCp5RcZD7	5.0	6.0	6.0	10.0				Accept (Poster)
AkJyAE46GA	8.0	3.0	5.0	3.0				Reject
mfwdY3U_9ea	6.0	6.0	8.0	5.0				Accept (Poster)
6hTObFz_nB	5.0	5.0	8.0	5.0				Reject
0d1mLPC2q2	3.0	3.0	5.0					Reject
e-IkMkna5uJ	3.0	8.0	8.0	3.0				Reject
Zk3TwMJNj7	5.0	3.0	5.0					Reject
rrWeE9ZDw_	5.0	6.0	8.0					Accept (Poster)
DIsWHvtU7lF	6.0	6.0	3.0	6.0				Reject
Ivku4TZgEly	5.0	5.0	5.0					Reject
rdBuE6EigGl	3.0	5.0	3.0					Reject
q2ZaVU6bEsT	3.0	3.0	3.0					Reject
V7eSbSAz-O8	3.0	1.0	1.0					Reject
GlN8MUkciwi	6.0	5.0	5.0	6.0				Reject
1-YP2squpa7	3.0	6.0	5.0	8.0				Reject
hfU7Ka5cfrC	8.0	6.0	8.0	8.0				Accept (Spotlight)
dLTXoSIcrik	5.0	5.0	6.0	6.0				Reject
-dzXGe2FyW6	6.0	3.0	3.0	8.0				Reject
m8uJvVgwRci	8.0	6.0	8.0	8.0				Accept (Poster)
ckZY7DGa7FQ	3.0	8.0	8.0	8.0				Accept (Poster)
e6MWIbNeW1	3.0	6.0	5.0	5.0	3.0	6.0		Reject
QNW1OrjynpT	3.0	5.0	6.0	6.0	5.0			Reject
R332S76RjxS	3.0	6.0	8.0	8.0				Accept (Poster)
V3C8p78sDa	8.0	6.0	8.0	8.0				Accept (Spotlight)
EVqFdCB5PfV	5.0	5.0	5.0	3.0				Reject
3ILxkQ7yElm	6.0	8.0	1.0					Accept (Poster)
ccWaPGl9Hq	8.0	8.0	8.0	8.0				Accept (Spotlight)
BlyXYc4wF2-	5.0	5.0	5.0					Reject
Dup_dDqkZC5	8.0	8.0	6.0	8.0				Accept (Spotlight)
x4tkHYGpTdq	3.0	5.0	3.0	5.0	5.0			Reject
Rupm2vTg1pe	5.0	8.0	5.0	5.0				Reject
RB_2cor6d-w	6.0	3.0	3.0	6.0	5.0			Reject
0uZu36la_y4	3.0	3.0	6.0	6.0				Reject
AAeMQz0x4nA	6.0	5.0	3.0	3.0				Reject
PGGjnBiQ84G	6.0	5.0	6.0	5.0				Reject
xDIvIqQ3DXD	6.0	8.0	8.0					Accept (Spotlight)
NrB52z3eOTY	6.0	5.0	5.0	3.0				Reject
rMbLORc8oS	6.0	3.0	3.0	5.0				Reject
U-_89RnR8F	6.0	6.0	6.0	5.0				Reject
Qu_XudmGajz	6.0	5.0	3.0	6.0				Reject
GrFix2vWsh4	3.0	6.0	6.0	5.0				Reject
pzgENfIRBil	5.0	5.0	5.0	8.0				Reject
Mlwe37htstv	6.0	6.0	3.0	6.0				Reject
nKWjE4QF1hB	5.0	8.0	8.0	5.0				Accept (Poster)
H4EXaI6HR2	3.0	1.0	3.0					Reject
WQVouCWioh	3.0	5.0	3.0	5.0	3.0			Reject
SgEhFeRyzEZ	5.0	5.0	8.0	5.0				Reject
WcZUevpX3H3	5.0	5.0	5.0	3.0				Reject
eSHBmLnD1s8	3.0	5.0	5.0	8.0				Reject
1JN7MepVDFv	6.0	5.0	6.0	5.0				Reject
8rR8bIZnzMA	5.0	5.0	6.0	3.0				Reject
sOK-zS6WHB	6.0	8.0	6.0	8.0	8.0			Accept (Spotlight)
7YDLgf9_zgm	8.0	8.0	5.0	8.0				Accept (Spotlight)
WqoBaaPHS-	5.0	8.0	5.0	6.0				Accept (Poster)
v-v1cpNNK_v	6.0	6.0	6.0	8.0				Accept (Poster)
rq1-7_lwisw	6.0	3.0	6.0	5.0				Reject
HMJdXzbWKH	6.0	8.0	8.0	5.0				Accept (Poster)
aPOpXlnV1T	6.0	6.0	6.0					Accept (Poster)
9Hrka5PA7LW	8.0	8.0	8.0	8.0				Accept (Oral)
b30Yre8MzuN	5.0	6.0	5.0	6.0				Reject
NH29920YEmj	6.0	8.0	6.0	8.0				Accept (Poster)
MqEcDNQwOSA	3.0	3.0	3.0	3.0				Reject
A05I5IvrdL-	8.0	6.0	6.0	8.0				Accept (Poster)
h-z_zqT2yJU	6.0	6.0	6.0	5.0				Reject
Ctjb37IOldV	5.0	5.0	5.0	5.0				Reject
dEwfxt14bca	6.0	8.0	8.0	6.0				Accept (Spotlight)
XHUxf5aRB3s	8.0	6.0	6.0	6.0				Accept (Poster)
pgkwZxLW8b	3.0	3.0	8.0	3.0				Reject
s51gCxF70pq	3.0	6.0	5.0	3.0	5.0			Reject
Rx9luEzcSoy	6.0	8.0	6.0	6.0				Reject
ab7lBP7Fb60	3.0	5.0	6.0	3.0				Reject
KeBPcg5E3X	5.0	5.0	5.0	8.0				Reject
neqU3HWDgE	8.0	6.0	8.0	3.0				Accept (Poster)
DYaFB19z1ig	5.0	5.0	5.0	5.0				Reject
8in_5gN9I0	6.0	8.0	6.0					Accept (Poster)
u6sUACr7feW	3.0	5.0	5.0					Reject
e8JI3SBZKa4	8.0	5.0	6.0	6.0				Reject
inSTvgLk2YP	6.0	5.0	3.0	5.0				Reject
0lSoIruExF	1.0	3.0	1.0	3.0	5.0			Reject
4lLyoISm9M	5.0	6.0	3.0	5.0				Reject
g4nVdxU9RK	3.0	3.0	3.0	6.0				Reject
6PlIkYUK9As	3.0	5.0	3.0	5.0				Reject
EFSctTwY4xn	3.0	6.0	5.0					Reject
5o7lEUYRvM	5.0	6.0	6.0	3.0				Reject
i2baoZMYZ3	5.0	5.0	6.0	5.0				Reject
hjlXybdILM3	6.0	6.0	5.0	5.0				Reject
pWBNOgdeURp	6.0	6.0	6.0	6.0				Accept (Poster)
iLHOIDsPv1P	6.0	10.0	8.0	6.0				Accept (Spotlight)
0q0REJNgtg	6.0	5.0	5.0	6.0				Reject
kQ2SOflIOVC	6.0	5.0	8.0	8.0	6.0			Accept (Poster)
gCmCiclZV6Q	3.0	3.0	3.0					Reject
xS8AMYiEav3	8.0	6.0	8.0	5.0				Accept (Poster)
OqHtVOo-zy	3.0	8.0	3.0	5.0				Reject
oTQNAU_g_AZ	3.0	5.0	5.0	6.0				Reject
KSSfF5lMIAg	6.0	5.0	5.0	5.0				Accept (Poster)
on54StZqGQ_	6.0	6.0	5.0	6.0				Reject
R3zqNwzAVsC	5.0	5.0	5.0	5.0				Reject
BGvt0ghNgA	6.0	8.0	6.0	6.0				Accept (Poster)
1XdUvpaTNlM	5.0	5.0	3.0	6.0				Reject
cpstx0xuvRY	5.0	5.0	5.0	6.0				Reject
Wm3EA5OlHsG	8.0	5.0	6.0	8.0				Accept (Poster)
-uZp67PZ7p	6.0	5.0	5.0	6.0				Reject
vgqS1vkkCbE	6.0	6.0	6.0	6.0				Accept (Poster)
2DJn3E7lXu	6.0	5.0	6.0	6.0				Reject
aBAgwom5pTn	6.0	5.0	6.0	3.0	3.0			Reject
SsPCtEY6yCl	6.0	8.0	6.0	8.0				Accept (Spotlight)
RxplU3vmBx	6.0	8.0	6.0					Accept (Spotlight)
PgNEYaIc81Q	6.0	6.0	3.0	5.0				Accept (Poster)
qI4542Y2s1D	6.0	6.0	6.0	6.0				Accept (Poster)
uy602F8cTrh	5.0	3.0	5.0	3.0				Reject
iaqgio-pOv	6.0	5.0	6.0	6.0	1.0			Reject
JmU7lyDxTpc	8.0	8.0	5.0					Reject
ZC1s7bdR9bD	5.0	3.0	5.0	5.0				Reject
qnQN4yr6FJz	5.0	8.0	6.0	6.0				Accept (Oral)
HuaYQfggn5u	8.0	6.0	6.0	5.0				Accept (Poster)
YmONQIWli--	8.0	6.0	5.0	5.0				Reject
4jUmjIoTz2	6.0	8.0	3.0					Reject
q9zIvzRaU94	3.0	5.0	5.0	3.0				Reject
JV4tkMi4xg	5.0	6.0	3.0	6.0				Reject
pC00NfsvnSK	5.0	6.0	6.0	5.0				Reject
LOz0xDpw4Y	5.0	5.0	6.0					Reject
DBOibe1ISzB	6.0	6.0	3.0	3.0				Reject
Tubzedlc4P	3.0	8.0	6.0	5.0				Reject
bTteFbU99ye	8.0	8.0	8.0					Accept (Poster)
dIVrWHP9_1i	3.0	3.0	8.0					Reject
FFGDKzLasUa	5.0	5.0	3.0	5.0				Reject
ahi2XSHpAUZ	6.0	8.0	6.0	6.0	6.0			Accept (Poster)
EZNOb_uNpJk	6.0	5.0	5.0					Accept (Poster)
FKp8-pIRo3y	6.0	6.0	6.0	6.0				Accept (Poster)
GugZ5DzzAu	6.0	6.0	5.0	6.0				Accept (Poster)
RQ428ZptQfU	8.0	8.0	8.0	6.0				Accept (Poster)
5Qkd7-bZfI	6.0	6.0	6.0	6.0				Accept (Poster)
0JzqUlIVVDd	6.0	3.0	8.0	6.0				Accept (Poster)
-6me0AsJVdu	5.0	8.0	3.0	6.0				Reject
eIvzaLx6nKW	6.0	6.0	5.0					Reject
xnYACQquaGV	6.0	8.0	3.0	8.0				Accept (Poster)
qQuzhbU3Gto	3.0	3.0	5.0					Reject
SYuJXrXq8tw	5.0	8.0	8.0	6.0				Accept (Poster)
O-r8LOR-CCA	6.0	6.0	6.0	6.0	6.0			Accept (Poster)
9u5E8AFudRx	8.0	3.0	5.0					Reject
EYCm0AFjaSS	5.0	5.0	5.0	6.0	5.0			Reject
MTsBazXmX00	3.0	6.0	5.0	5.0				Reject
gjNcH0hj0LM	10.0	6.0	6.0	6.0				Accept (Poster)
wu5yYUutDGW	5.0	6.0	6.0					Reject
qyzTEWWM0Pp	6.0	3.0	5.0	5.0	5.0	5.0		Reject
ks_uMcTPyW4	5.0	6.0	6.0					Reject
qEGBB9YB31	5.0	6.0	6.0	5.0				Reject
eqaxDZg4MHw	3.0	3.0	6.0	3.0				Reject
hyuacPZQFb0	3.0	5.0	5.0	5.0	5.0			Reject
RjMtFbmETG	6.0	5.0	3.0	6.0				Reject
UgNQM-LcVpN	3.0	3.0	3.0	3.0				Reject
kcrIligNnl	6.0	3.0	5.0	6.0				Reject
Ub1BQTKiwqg	3.0	3.0	3.0	3.0				Reject
BRFWxcZfAdC	8.0	6.0	6.0	8.0	3.0			Accept (Poster)
_ixHFNR-FZ	6.0	3.0	5.0	3.0				Reject
C4o-EEUx-6	5.0	6.0	3.0	5.0				Reject
TBWA6PLJZQm	8.0	8.0	6.0	6.0				Accept (Poster)
6u6N8WWwYSM	8.0	8.0	6.0	6.0				Accept (Poster)
t5s-hd1bqLk	6.0	6.0	6.0					Accept (Poster)
1L0C5ROtFp	8.0	8.0	10.0					Accept (Oral)
ZFIT_sGjPJ	3.0	5.0	6.0	6.0				Reject
uEBrNNEfceE	5.0	5.0	8.0	6.0				Reject
JGO8CvG5S9	8.0	6.0	10.0					Accept (Spotlight)
IEsx-jwFk3g	5.0	6.0	6.0	5.0				Reject
WLEx3Jo4QaB	6.0	6.0	5.0	6.0				Accept (Poster)
8Wdj6IJsSyJ	5.0	5.0	5.0	5.0				Reject
UJ9_wmscwk	3.0	3.0	5.0	6.0				Reject
d2XZsOT-_U_	3.0	3.0	6.0					Reject
HHpWuWayMo	3.0	5.0	3.0	5.0				Reject
WPI2vbkAl3Q	8.0	6.0	5.0	5.0				Accept (Poster)
YZHES8wIdE	8.0	6.0	8.0	8.0				Accept (Spotlight)
o6dG7nVYDS	8.0	5.0	5.0	3.0				Reject
dtYnHcmQKeM	5.0	6.0	5.0	3.0				Reject
z8xVlqWwRrK	8.0	5.0	5.0	6.0				Reject
ODnCiZujily	5.0	3.0	8.0	5.0	3.0			Reject
morSrUyWG26	5.0	5.0	5.0	6.0				Reject
-TSe5o7STVR	6.0	3.0	8.0	6.0	8.0			Accept (Poster)
i--G7mhB19P	5.0	5.0	6.0	5.0	5.0			Reject
zyrhwrd9EYs	3.0	3.0	5.0					Reject
NZQ8aTScT1-	3.0	5.0	5.0	5.0				Reject
IEKL-OihqX0	6.0	6.0	6.0	5.0				Reject
ZOcX-eybqoL	6.0	6.0	8.0	5.0	5.0	5.0		Accept (Poster)
hUr6K4D9f7P	6.0	6.0	5.0	3.0				Reject
1xXvPrAshao	6.0	5.0	8.0	6.0				Accept (Spotlight)
IhkSFe9YqMy	1.0	3.0	1.0	3.0				Reject
FpKgG31Z_i9	3.0	3.0	8.0	3.0				Reject
eo1barn2Xmd	3.0	5.0	6.0	3.0	3.0			Reject
dg79moSRqIo	6.0	6.0	6.0	6.0				Accept (Poster)
DrCsriMQ1o	3.0	8.0	5.0	3.0				Reject
UseMOjWENv	8.0	8.0	8.0					Accept (Oral)
kiNEOCSEzt	6.0	5.0	6.0	6.0				Reject
gLqnSGXVJ6l	3.0	1.0	3.0	3.0				Reject
5XmLzdslFNN	6.0	6.0	6.0	8.0				Accept (Poster)
fEcbkaHqlur	6.0	8.0	5.0	5.0				Reject
RMv-5wMMrE3	3.0	6.0	3.0	5.0				Reject
DfMqlB0PXjM	8.0	8.0	8.0	6.0				Accept (Spotlight)
R612wi_C-7w	5.0	3.0	3.0	5.0	5.0			Reject
Zq2G_VTV53T	6.0	8.0	6.0	5.0				Accept (Poster)
VyZRObZ19kt	3.0	3.0	8.0					Reject
ZDYhm_o8MX	3.0	5.0	5.0	6.0	6.0			Reject
ziRLU3Y2PN_	3.0	8.0	8.0	8.0				Accept (Poster)
Czsdv-S4-w9	5.0	6.0	8.0	10.0				Accept (Poster)
18Ys0-PzyPI	6.0	6.0	6.0	8.0				Accept (Poster)
0DcZxeWfOPt	6.0	3.0	8.0	8.0				Accept (Poster)
mF5tmqUfdsw	6.0	6.0	6.0					Reject
4l5iO9eoh3f	3.0	6.0	5.0	5.0				Reject
dEOeQgQTyvt	6.0	6.0	6.0	3.0				Reject
4Ycr8oeCoIh	6.0	6.0	8.0					Accept (Poster)
O5Wr-xX0U2y	5.0	6.0	6.0					Reject
tFgdrQbbaa	5.0	6.0	6.0	8.0				Accept (Poster)
JYQYysrNT3M	5.0	3.0	5.0	3.0				Reject
2s4sNT11IcH	3.0	5.0	3.0	8.0				Reject
6-lLt2zxbZR	1.0	3.0	3.0	5.0				Reject
